"","Units","scenario","region","gcam-consumer","year","value","Scenario","climate"
"245","None Specified","Reference","Colombia","FoodDemand",2005,42648,"GCAM","None"
"246","None Specified","Reference","Colombia","FoodDemand",2010,45223,"GCAM","None"
"247","None Specified","Reference","Colombia","FoodDemand",2015,47521,"GCAM","None"
"248","None Specified","Reference","Colombia","FoodDemand",2020,50315,"GCAM","None"
"249","None Specified","Reference","Colombia","FoodDemand",2025,52898,"GCAM","None"
"250","None Specified","Reference","Colombia","FoodDemand",2030,55222,"GCAM","None"
"251","None Specified","Reference","Colombia","FoodDemand",2035,57240,"GCAM","None"
"252","None Specified","Reference","Colombia","FoodDemand",2040,58976,"GCAM","None"
"253","None Specified","Reference","Colombia","FoodDemand",2045,60431,"GCAM","None"
"254","None Specified","Reference","Colombia","FoodDemand",2050,61553,"GCAM","None"
"255","None Specified","Reference","Colombia","FoodDemand",2055,62356,"GCAM","None"
"256","None Specified","Reference","Colombia","FoodDemand",2060,62899,"GCAM","None"
"257","None Specified","Reference","Colombia","FoodDemand",2065,63157,"GCAM","None"
"258","None Specified","Reference","Colombia","FoodDemand",2070,63179,"GCAM","None"
"259","None Specified","Reference","Colombia","FoodDemand",2075,62972,"GCAM","None"
"260","None Specified","Reference","Colombia","FoodDemand",2080,62528,"GCAM","None"
"261","None Specified","Reference","Colombia","FoodDemand",2085,61871,"GCAM","None"
"262","None Specified","Reference","Colombia","FoodDemand",2090,61079,"GCAM","None"
"263","None Specified","Reference","Colombia","FoodDemand",2095,60178,"GCAM","None"
"264","None Specified","Reference","Colombia","FoodDemand",2100,59180,"GCAM","None"
"265","None Specified","Reference","EU-12","FoodDemand",1975,99629,"GCAM","None"
"266","None Specified","Reference","EU-12","FoodDemand",1990,107358,"GCAM","None"
"267","None Specified","Reference","EU-12","FoodDemand",2005,103595,"GCAM","None"
"268","None Specified","Reference","EU-12","FoodDemand",2010,102240,"GCAM","None"
"269","None Specified","Reference","EU-12","FoodDemand",2015,100885,"GCAM","None"
"270","None Specified","Reference","EU-12","FoodDemand",2020,100489,"GCAM","None"
"271","None Specified","Reference","EU-12","FoodDemand",2025,99871,"GCAM","None"
"272","None Specified","Reference","EU-12","FoodDemand",2030,98929,"GCAM","None"
"273","None Specified","Reference","EU-12","FoodDemand",2035,97638,"GCAM","None"
"274","None Specified","Reference","EU-12","FoodDemand",2040,96191,"GCAM","None"
"275","None Specified","Reference","EU-12","FoodDemand",2045,94712,"GCAM","None"
"276","None Specified","Reference","EU-12","FoodDemand",2050,93190,"GCAM","None"
"277","None Specified","Reference","EU-12","FoodDemand",2055,91540,"GCAM","None"
"278","None Specified","Reference","EU-12","FoodDemand",2060,89687,"GCAM","None"
"279","None Specified","Reference","EU-12","FoodDemand",2065,87507,"GCAM","None"
"280","None Specified","Reference","EU-12","FoodDemand",2070,85081,"GCAM","None"
"281","None Specified","Reference","EU-12","FoodDemand",2075,82569,"GCAM","None"
"282","None Specified","Reference","EU-12","FoodDemand",2080,80124,"GCAM","None"
"283","None Specified","Reference","EU-12","FoodDemand",2085,77829,"GCAM","None"
"284","None Specified","Reference","EU-12","FoodDemand",2090,75700,"GCAM","None"
"285","None Specified","Reference","EU-12","FoodDemand",2095,73704,"GCAM","None"
"286","None Specified","Reference","EU-12","FoodDemand",2100,71775,"GCAM","None"
"287","None Specified","Reference","EU-15","FoodDemand",1975,350014,"GCAM","None"
"288","None Specified","Reference","EU-15","FoodDemand",1990,365030,"GCAM","None"
"289","None Specified","Reference","EU-15","FoodDemand",2005,387123,"GCAM","None"
"290","None Specified","Reference","EU-15","FoodDemand",2010,396932,"GCAM","None"
"291","None Specified","Reference","EU-15","FoodDemand",2015,404066,"GCAM","None"
"292","None Specified","Reference","EU-15","FoodDemand",2020,410786,"GCAM","None"
"293","None Specified","Reference","EU-15","FoodDemand",2025,417109,"GCAM","None"
"294","None Specified","Reference","EU-15","FoodDemand",2030,422887,"GCAM","None"
"295","None Specified","Reference","EU-15","FoodDemand",2035,428181,"GCAM","None"
"296","None Specified","Reference","EU-15","FoodDemand",2040,433036,"GCAM","None"
"297","None Specified","Reference","EU-15","FoodDemand",2045,437256,"GCAM","None"
"298","None Specified","Reference","EU-15","FoodDemand",2050,440600,"GCAM","None"
"299","None Specified","Reference","EU-15","FoodDemand",2055,442992,"GCAM","None"
"300","None Specified","Reference","EU-15","FoodDemand",2060,444653,"GCAM","None"
"301","None Specified","Reference","EU-15","FoodDemand",2065,445271,"GCAM","None"
"302","None Specified","Reference","EU-15","FoodDemand",2070,445263,"GCAM","None"
"303","None Specified","Reference","EU-15","FoodDemand",2075,444778,"GCAM","None"
"304","None Specified","Reference","EU-15","FoodDemand",2080,443719,"GCAM","None"
"305","None Specified","Reference","EU-15","FoodDemand",2085,441988,"GCAM","None"
"306","None Specified","Reference","EU-15","FoodDemand",2090,439290,"GCAM","None"
"307","None Specified","Reference","EU-15","FoodDemand",2095,435605,"GCAM","None"
"308","None Specified","Reference","EU-15","FoodDemand",2100,430661,"GCAM","None"
"309","None Specified","Reference","Europe_Eastern","FoodDemand",1975,61848,"GCAM","None"
"310","None Specified","Reference","Europe_Eastern","FoodDemand",1990,65980,"GCAM","None"
"311","None Specified","Reference","Europe_Eastern","FoodDemand",2005,60612,"GCAM","None"
"312","None Specified","Reference","Europe_Eastern","FoodDemand",2010,59299,"GCAM","None"
"313","None Specified","Reference","Europe_Eastern","FoodDemand",2015,58432,"GCAM","None"
"314","None Specified","Reference","Europe_Eastern","FoodDemand",2020,56851,"GCAM","None"
"315","None Specified","Reference","Europe_Eastern","FoodDemand",2025,55458,"GCAM","None"
"316","None Specified","Reference","Europe_Eastern","FoodDemand",2030,54198,"GCAM","None"
"317","None Specified","Reference","Europe_Eastern","FoodDemand",2035,53087,"GCAM","None"
"318","None Specified","Reference","Europe_Eastern","FoodDemand",2040,52133,"GCAM","None"
"319","None Specified","Reference","Europe_Eastern","FoodDemand",2045,51262,"GCAM","None"
"320","None Specified","Reference","Europe_Eastern","FoodDemand",2050,50429,"GCAM","None"
"321","None Specified","Reference","Europe_Eastern","FoodDemand",2055,49635,"GCAM","None"
"322","None Specified","Reference","Europe_Eastern","FoodDemand",2060,48892,"GCAM","None"
"323","None Specified","Reference","Europe_Eastern","FoodDemand",2065,48066,"GCAM","None"
"324","None Specified","Reference","Europe_Eastern","FoodDemand",2070,47179,"GCAM","None"
"325","None Specified","Reference","Europe_Eastern","FoodDemand",2075,46230,"GCAM","None"
"326","None Specified","Reference","Europe_Eastern","FoodDemand",2080,45227,"GCAM","None"
"327","None Specified","Reference","Europe_Eastern","FoodDemand",2085,44191,"GCAM","None"
"328","None Specified","Reference","Europe_Eastern","FoodDemand",2090,43146,"GCAM","None"
"329","None Specified","Reference","Europe_Eastern","FoodDemand",2095,42092,"GCAM","None"
"330","None Specified","Reference","Europe_Eastern","FoodDemand",2100,41002,"GCAM","None"
"331","None Specified","Reference","Europe_Non_EU","FoodDemand",1975,61029,"GCAM","None"
"332","None Specified","Reference","Europe_Non_EU","FoodDemand",1990,78577,"GCAM","None"
