"","L106.income_distributions.region","L106.income_distributions.gcam.consumer","L106.income_distributions.subregional.population.share","L106.income_distributions.subregional.income.share","L106.income_distributions.year"
"512","Central America and Caribbean","d4",0.1,0.041150628,1990
"513","Middle East","d1",0.1,0.010605418,2035
"514","Pakistan","d1",0.1,0.034158936,2040
"515","India","d2",0.1,0.00729272,2070
"516","Africa_Eastern","d8",0.1,0.113869854,2015
"517","Europe_Non_EU","d2",0.1,0.028703736,1975
"518","South Africa","d1",0.1,0.004596593,2075
"519","Indonesia","d1",0.1,0.026681424,2010
"520","Central America and Caribbean","d1",0.1,0.011640574,2050
"521","India","d8",0.1,0.11757088,1990
"522","Pakistan","d2",0.1,0.049643902,2030
"523","Africa_Southern","d7",0.1,0.076083127,2015
"524","Pakistan","d3",0.1,0.059087385,2025
"525","Central America and Caribbean","d3",0.1,0.028878972,2015
"526","South America_Southern","d3",0.1,0.033053645,1990
"527","Central Asia","d1",0.1,0.027593297,1975
"528","China","d9",0.1,0.141977496,1990
"529","Pakistan","d8",0.1,0.11738331,1975
"530","South Asia","d6",0.1,0.073896238,2020
"531","South Africa","d4",0.1,0.0190019,2010
"532","South Africa","d4",0.1,0.020575078,2005
"533","Africa_Eastern","d7",0.1,0.093230089,2025
"534","Central Asia","d1",0.1,0.01483191,2030
"535","Africa_Southern","d5",0.1,0.051301128,2035
"536","Africa_Western","d3",0.1,0.035333388,2040
"537","Southeast Asia","d2",0.1,0.023581807,2015
"538","Africa_Eastern","d6",0.1,0.077063816,2030
